,Fit,A,mu,sigma,gamma,RMSE,Nb_obs,Feature,Layer_second,Bin_width,Population_used,Population
13,Skewed Gaussian,553.6075055091214,17.65058282590981,6.779519078281236,1.557054668276193,1.8092227656960895,287,Time_constant_ms,4,1.84,Per_layer,Excitatory
14,Skewed Gaussian,113.58502137217948,11.58917868035426,10.299582657102318,8.021063718077283,1.033369418645809,58,Time_constant_ms,6,1.84,Per_layer,Excitatory
15,Gaussian,118.7535908999114,20.925366005120427,5.060124282601932,,2.41596954620545,60,Time_constant_ms,2/3,1.84,Per_layer,Excitatory
16,LogNormal,54.98619653178434,0.9543912104113228,0.2914676063330029,,2.457810258105162,175,Adaptation_index,5,0.33,Per_layer,Excitatory
17,LogNormal,90.12115419467828,1.071340897955532,0.2543810773901512,,2.6265338691617988,285,Adaptation_index,4,0.33,Per_layer,Excitatory
18,Skewed Gaussian,16.785698615577875,0.6732101891328401,3.903510996328954,171850.46432336376,1.1116658020734818,55,Adaptation_index,6,0.33,Per_layer,Excitatory
19,Skewed Gaussian,22.077652248738246,0.7232793490605856,1.524927632331618,65440.80417942447,1.5947813239887572,60,Adaptation_index,2/3,0.33,Per_layer,Excitatory
20,Skewed Gaussian,77.480932498173,0.0905648099406924,0.4893277957560813,10.421356867832372,5.039966916814306,699,Gain,4,0.13,All_layer,Inhibitory
21,Skewed Gaussian,77.480932498173,0.0905648099406924,0.4893277957560813,10.421356867832372,5.039966916814306,699,Gain,5,0.13,All_layer,Inhibitory
22,Skewed Gaussian,77.480932498173,0.0905648099406924,0.4893277957560813,10.421356867832372,5.039966916814306,699,Gain,2/3,0.13,All_layer,Inhibitory
23,Skewed Gaussian,77.480932498173,0.0905648099406924,0.4893277957560813,10.421356867832372,5.039966916814306,699,Gain,6,0.13,All_layer,Inhibitory
24,Skewed Gaussian,77.480932498173,0.0905648099406924,0.4893277957560813,10.421356867832372,5.039966916814306,699,Gain,1,0.13,All_layer,Inhibitory
25,LogNormal,4091.752238777307,4.967429771310206,1.0896571141775395,,2.258871099775664,104,Threshold,4,31.03,Per_layer,Inhibitory
26,LogNormal,7068.26790161549,4.759494372415684,0.6857160500929738,,2.748510698341,229,Threshold,5,31.03,Per_layer,Inhibitory
27,Skewed Gaussian,6577.793483232383,13.965324900911137,160.82887678628,14.939282731122884,1.669510368798345,204,Threshold,2/3,31.03,Per_layer,Inhibitory
28,LogNormal,3390.126500925277,4.657792605300699,0.6518723025006201,,1.9844062252937396,111,Threshold,6,31.03,Per_layer,Inhibitory
29,Skewed Gaussian,1757.0794490839444,71.30380599662527,71.66564495738224,1.2231536706290815,0.8699879512093756,51,Threshold,1,31.03,Per_layer,Inhibitory
30,Skewed Gaussian,5.189905113231315,0.0656728937906982,0.1442704694481992,8.126646411231517,2.413941706406816,161,Input_Resistance_GOhms,4,0.03,Per_layer,Inhibitory
31,Skewed Gaussian,9.303538364386648,0.0719079759638889,0.1806885401417011,12.80123079226034,3.4212508880564925,298,Input_Resistance_GOhms,5,0.03,Per_layer,Inhibitory
32,Skewed Gaussian,8.649385647671442,0.0583109063451805,0.171532018015272,9.648089992278353,2.404176862885327,253,Input_Resistance_GOhms,2/3,0.03,Per_layer,Inhibitory
33,Skewed Gaussian,4.693204050739094,0.0801355707662431,0.1966786365295287,11.26998546380652,2.4031054844342115,140,Input_Resistance_GOhms,6,0.03,Per_layer,Inhibitory
34,LogNormal,1.82237812948446,-1.6039789479796631,0.416919746844238,,1.0252875139747324,53,Input_Resistance_GOhms,1,0.03,Per_layer,Inhibitory
35,Skewed Gaussian,255.63994917450603,4.725439783462771,6.792934794722523,9.219804555599032,3.223237554117603,161,Time_constant_ms,4,1.71,Per_layer,Inhibitory
36,Skewed Gaussian,515.6643431078867,4.052423777524284,12.56411821447901,139565.28709368687,5.709647665150286,298,Time_constant_ms,5,1.71,Per_layer,Inhibitory
37,Skewed Gaussian,436.06871338001145,11.737066501481502,3.7820287139360538,-1.1775202690771809,4.014919239827467,253,Time_constant_ms,2/3,1.71,Per_layer,Inhibitory
38,Skewed Gaussian,231.49290046728828,5.801954412062311,8.94926713349383,8.228208115331123,2.038073424814252,140,Time_constant_ms,6,1.71,Per_layer,Inhibitory
